x_initial,y_initial,u_deplacement,v_deplacement,magnitude,direction
1037.0,972.0,2.7077637,3.6811523,4.5697775,0.9365913
1081.0,1018.0,2.761963,3.6218262,4.554785,0.91928715
1083.0,416.0,18.699585,-4.320404,19.192196,-0.22705854
1116.0,1008.0,2.77417,3.548462,4.504176,0.90725493
1089.0,1039.0,2.7823486,3.611206,4.558758,0.9143187
1066.0,1031.0,2.7597656,3.6590576,4.5831223,0.92459446
928.0,511.0,9.57373,4.0857544,10.409117,0.40336657
1126.0,717.0,4.296509,4.0597534,5.911141,0.75707304
965.0,689.0,2.6399536,2.5795898,3.6910212,0.77383375
1070.0,970.0,2.7315674,3.6622314,4.568742,0.92994034
987.0,422.0,10.975708,0.9208679,11.014271,0.08370451
1045.0,956.0,2.697998,3.6408691,4.5315695,0.93305993
1081.0,1039.0,2.7630615,3.6083984,4.5447826,0.9173033
908.0,558.0,8.228577,3.3777466,8.894866,0.38951644
1051.0,1048.0,2.756958,3.6783447,4.596851,0.92760855
1040.0,365.0,22.748535,-10.624786,25.107409,-0.4369449
1013.0,455.0,12.9470215,0.38607788,12.952777,0.029810987
1033.0,956.0,2.6920166,3.668274,4.5500755,0.93770206
1040.0,1048.0,2.7424316,3.6865234,4.5947127,0.931206
1035.0,385.0,20.007812,-3.5368042,20.31801,-0.17496368
960.0,475.0,8.858459,4.4239807,9.901712,0.46317345
887.0,312.0,8.491699,15.281372,17.482256,1.0635954
1037.0,444.0,15.122192,-1.2545776,15.174145,-0.08277313
996.0,418.0,15.179138,-0.96875,15.21002,-0.06373471
1036.0,1019.0,2.7304688,3.6861572,4.5872884,0.9332507
1097.0,1032.0,2.7913818,3.5964355,4.5525994,0.9107667
1081.0,1046.0,2.765625,3.6064453,4.544791,0.9165942
942.0,440.0,16.21991,7.932678,18.055826,0.45486578
906.0,271.0,9.390076,-11.439178,14.799605,-0.88345885
1057.0,390.0,21.367676,-5.529846,22.071629,-0.25323898
1171.0,757.0,3.5396729,2.890808,4.5701265,0.684834
944.0,507.0,8.641602,4.174469,9.597055,0.45000935
